Insertion Index,List,Array
405,0.000151,0.000122
406,0.000130,0.000149
407,0.000167,0.000120
408,0.000134,0.000118
409,0.000123,0.000117
410,0.000157,0.000126
411,0.000149,0.000124
412,0.000151,0.000119
413,0.000137,0.000118
414,0.000130,0.000123
415,0.000142,0.000116
416,0.000144,0.000120
417,0.000184,0.000118
418,0.000132,0.000116
419,0.000129,0.000115
420,0.000154,0.000118
421,0.000147,0.000114
422,0.000249,0.000118
423,0.000134,0.000114
424,0.000135,0.000114
425,0.000152,0.000117
426,0.000133,0.000113
427,0.000172,0.000117
428,0.000145,0.000117
429,0.000161,0.000113
430,0.000165,0.000117
431,0.000149,0.000115
432,0.000131,0.000117
433,0.000152,0.000115
434,0.000152,0.000112
435,0.000223,0.000149
436,0.000167,0.000116
437,0.000168,0.000135
438,0.000155,0.000121
439,0.000147,0.000117
440,0.000179,0.000128
441,0.000148,0.000118
442,0.000196,0.000114
443,0.000160,0.000113
444,0.000161,0.000113
445,0.000171,0.000114
446,0.000148,0.000113
447,0.000138,0.000110
448,0.000159,0.000112
449,0.000157,0.000110
450,0.000177,0.000121
451,0.000151,0.000143
452,0.000153,0.000150
453,0.000155,0.000130
454,0.000164,0.000109
455,0.000227,0.000108
456,0.000151,0.000108
457,0.000141,0.000150
458,0.000157,0.000110
459,0.000146,0.000121
460,0.000190,0.000110
461,0.000150,0.000107
462,0.000142,0.000107
463,0.000171,0.000109
464,0.000145,0.000106
465,0.000183,0.000144
466,0.000171,0.000109
467,0.000146,0.000156
468,0.000174,0.000108
469,0.000171,0.000108
470,0.000203,0.000121
471,0.000162,0.000107
472,0.000151,0.000105
473,0.000301,0.000107
474,0.000158,0.000107
475,0.000145,0.000133
476,0.000161,0.000107
477,0.000150,0.000150
478,0.000179,0.000106
479,0.000155,0.000109
480,0.000162,0.000109
481,0.000160,0.000103
482,0.000153,0.000103
483,0.000152,0.000109
484,0.000142,0.000104
485,0.000172,0.000102
486,0.000187,0.000102
487,0.000220,0.000150
488,0.000210,0.000153
489,0.000211,0.000113
490,0.000210,0.000152
491,0.000227,0.000125
492,0.000303,0.000117
493,0.000205,0.000116
494,0.000177,0.000112
495,0.000168,0.000112
496,0.000198,0.000111
497,0.000177,0.000108
498,0.000436,0.000111
499,0.000165,0.000108
500,0.000177,0.000111
501,0.000170,0.000114
502,0.000162,0.000101
503,0.000174,0.000102
504,0.000160,0.000101
505,0.000217,0.000114
506,0.000164,0.000100
507,0.000164,0.000114
508,0.000198,0.000107
509,0.000158,0.000100
510,0.000157,0.000169
511,0.000181,0.000099
512,0.000169,0.000100
513,0.000209,0.000102
514,0.000175,0.000110
515,0.000169,0.000099
516,0.000192,0.000098
517,0.000173,0.000099
518,0.000202,0.000099
519,0.000175,0.000099
520,0.000170,0.000099
521,0.000208,0.000099
522,0.000172,0.000098
523,0.000161,0.000103
524,0.000182,0.000097
525,0.000179,0.000097
526,0.000220,0.000097
527,0.000187,0.000097
528,0.000167,0.000094
529,0.000192,0.000096
530,0.000169,0.000093
531,0.000217,0.000123
532,0.000164,0.000095
533,0.000170,0.000110
534,0.000206,0.000092
535,0.000155,0.000092
536,0.000227,0.000095
537,0.000177,0.000094
538,0.000176,0.000108
539,0.000295,0.000107
540,0.000175,0.000092
541,0.000170,0.000122
542,0.000182,0.000091
543,0.000173,0.000160
544,0.000231,0.000091
545,0.000167,0.000090
546,0.000216,0.000113
547,0.000182,0.000090
548,0.000173,0.000115
549,0.000186,0.000090
550,0.000180,0.000089
551,0.000217,0.000096
552,0.000170,0.000114
553,0.000175,0.000158
554,0.000189,0.000088
555,0.000178,0.000088
556,0.000213,0.000112
557,0.000184,0.000088
558,0.000175,0.000111
559,0.000200,0.000088
560,0.000238,0.000108
561,0.000209,0.000087
562,0.000179,0.000108
563,0.000173,0.000113
564,0.000211,0.000086
565,0.000175,0.000108
566,0.000220,0.000086
567,0.000174,0.000086
568,0.000323,0.000086
569,0.000185,0.000086
570,0.000185,0.000112
571,0.000194,0.000085
572,0.000203,0.000085
573,0.000218,0.000087
574,0.000186,0.000106
575,0.000181,0.000111
576,0.000199,0.000085
577,0.000182,0.000088
578,0.000231,0.000084
579,0.000191,0.000084
580,0.000204,0.000101
581,0.000221,0.000086
582,0.000191,0.000100
583,0.000170,0.000083
584,0.000203,0.000085
585,0.000229,0.000082
586,0.000262,0.000082
587,0.000218,0.000084
588,0.000186,0.000082
589,0.000218,0.000084
590,0.000195,0.000082
591,0.000214,0.000112
592,0.000215,0.000095
593,0.000201,0.000081
594,0.000271,0.000097
595,0.000191,0.000083
596,0.000200,0.000111
597,0.000232,0.000082
598,0.000185,0.000081
599,0.000181,0.000103
600,0.000208,0.000082
601,0.000197,0.000079
602,0.000223,0.000082
603,0.000210,0.000081
604,0.000185,0.000098
605,0.000235,0.000080
606,0.000191,0.000079
607,0.000310,0.000078
608,0.000223,0.000080
609,0.000194,0.000102
610,0.000252,0.000078
611,0.000194,0.000078
612,0.000243,0.000095
613,0.000202,0.000077
614,0.000220,0.000076
615,0.000211,0.000079
616,0.000206,0.000076
617,0.000295,0.000078
618,0.000201,0.000076
619,0.000213,0.000076
620,0.000226,0.000078
621,0.000197,0.000077
622,0.000188,0.000075
623,0.000224,0.000077
624,0.000214,0.000076
625,0.000238,0.000077
626,0.000214,0.000076
627,0.000191,0.000074
628,0.000279,0.000074
629,0.000201,0.000076
630,0.000325,0.000083
631,0.000229,0.000076
632,0.000214,0.000074
633,0.000234,0.000075
634,0.000205,0.000075
635,0.000193,0.000072
636,0.000239,0.000075
637,0.000213,0.000073
638,0.000239,0.000098
639,0.000206,0.000072
640,0.000205,0.000071
641,0.000251,0.000073
642,0.000203,0.000087
643,0.000194,0.000073
644,0.000212,0.000072
645,0.000218,0.000071
646,0.000241,0.000072
647,0.000209,0.000070
648,0.000198,0.000071
